id,title,author,category,shortDescription,longDescription,year,language,cover,pdfFileName,pdfUrl,summaryUrl,audioUrl,recommended,featured
book-01,Cómo ganar amigos e influir sobre las personas,Dale Carnegie,Liderazgo,,,,Español,https://i.imgur.com/ZKnte3k.jpeg,Como Ganar Amigos e Influir Sobre Las Personas.PDF,,,,true,true
book-02,Burlar al diablo,Napoleon Hill,Mentalidad,,,,Español,https://i.imgur.com/w7BlBpV.jpeg,feismo.com-burlar-al-diablo-secretos-desde-la-cripta-napoleon-hill-pr_318d8a3c4cdf2159610cf42eb72f64e4.pdf,,,,true,false
book-03,El monje que vendió su Ferrari,Robin Sharma,Propósito,,,,Español,https://i.imgur.com/u6SAYq9.jpeg,EL-MONJE-QUE-VENDIO-SU-FERRARI-AUTOR-ROBIN-SHARMA.pdf,,,,true,true
book-04,Piense y hágase rico,Napoleon Hill,Riqueza,,,,Español,https://i.imgur.com/WJWC0Ja.jpeg,Adelanto-Piense-y-hagase-rico.pdf,,,,true,true
book-05,Los secretos de la mente millonaria,T. Harv Eker,Riqueza,,,,Español,https://i.imgur.com/AjcnSqE.jpeg,,,,,true,true
book-06,Poder sin límites,Tony Robbins,Desarrollo personal,,,,Español,https://i.imgur.com/KMLwW6g.jpeg,,,,,false,false
book-07,El secreto,Rhonda Byrne,Espiritualidad,,,,Español,https://i.imgur.com/s0wpb7t.jpeg,,,,,false,false
book-08,El club de las 5 de la mañana,Robin Sharma,Hábitos,,,,Español,https://i.imgur.com/d3gAp0W.jpeg,,,,,true,false
book-09,Si lo crees lo creas,Brian Tracy,Mentalidad,,,,Español,https://i.imgur.com/0xEWEkf.jpeg,,,,,false,false
book-10,Deja de ser tú,Joe Dispenza,Conciencia,,,,Español,https://i.imgur.com/eeXAawW.jpeg,,,,,true,true
book-11,El Kybalión,Tres Iniciados,Filosofía,,,,Español,https://i.imgur.com/iVG5fU3.jpeg,,,,,false,false
book-12,La magia de pensar en grande,David J. Schwartz,Desarrollo personal,,,,Español,https://i.imgur.com/9atmSdr.jpeg,,,,,false,false
book-13,Las siete leyes espirituales del éxito,Deepak Chopra,Espiritualidad,,,,Español,https://i.imgur.com/z8yu2OW.jpeg,,,,,false,false
book-14,Metafísica 4 en 1,Conny Méndez,Metafísica,,,,Español,https://i.imgur.com/cmWatP1.jpeg,,,,,false,false
book-15,Los cuatro acuerdos,Don Miguel Ruiz,Sabiduría,,,,Español,https://i.imgur.com/17R9N8x.jpeg,,,,,true,false
book-16,El poder del ahora,Eckhart Tolle,Conciencia,,,,Español,https://i.imgur.com/VKmpNQY.jpeg,,,,,true,true
book-17,Padre rico padre pobre,Robert T. Kiyosaki,Riqueza,,,,Español,https://i.imgur.com/iupus1l.jpeg,,,,,false,false
book-18,Las 48 leyes del poder,Robert Greene,Estrategia,,,,Español,https://i.imgur.com/Vz8NtCz.jpeg,,,,,false,false
